,source,target,weight
285,2787.0,1814.0,44
556,6716.0,6734.0,34
1050,2147.0,1777.0,27
1258,3576.0,10425.0,26
1545,1322.0,5712.0,24
1567,5467.0,2805.0,24
1610,853.0,2592.0,24
1662,11697.0,2349.0,23
1753,11063.0,1116.0,23
1777,6345.0,5131.0,23
1926,3511.0,6911.0,22
1939,644.0,801.0,22
2022,881.0,12784.0,22
2038,1576.0,1745.0,22
2092,1322.0,27654.0,21
2172,14719.0,1116.0,21
2280,1322.0,7308.0,21
2350,1576.0,2310.0,20
2377,1322.0,7348.0,20
2455,14690.0,1322.0,20
2475,11011.0,8876.0,20
2597,11523.0,1116.0,20
2937,14805.0,1116.0,19
3056,12578.0,7348.0,19
3089,9201.0,1777.0,18
3164,7348.0,5712.0,18
3167,15157.0,1116.0,18
3204,17229.0,1619.0,18
3251,12578.0,1322.0,18
3352,1920.0,47.0,18
3407,5489.0,17233.0,18
3421,8840.0,3092.0,18
3491,23623.0,8621.0,18
3643,1956.0,801.0,17
3658,3907.0,8876.0,17
3676,11184.0,3092.0,17
3687,23637.0,1949.0,17
3808,16458.0,3272.0,17
3845,6366.0,1777.0,17
4018,4059.0,1384.0,17
4140,6726.0,6250.0,17
4171,5101.0,5608.0,16
4182,7308.0,7348.0,16
4184,11695.0,19766.0,16
4450,1444.0,1352.0,16
4595,8876.0,27063.0,16
4653,1777.0,10409.0,16
4665,853.0,801.0,16
4702,2534.0,4763.0,16
4809,9311.0,582.0,16
4897,17202.0,9437.0,15
4918,17266.0,13829.0,15
4980,29167.0,3788.0,15
5128,23798.0,4235.0,15
5166,6726.0,10386.0,15
5179,8944.0,1777.0,15
5198,3534.0,1777.0,15
5362,5083.0,801.0,15
5506,6872.0,1777.0,15
5564,3511.0,9638.0,15
5663,10490.0,801.0,15
5690,5944.0,7436.0,15
5825,10386.0,6250.0,14
6022,582.0,6772.0,14
6031,8876.0,17992.0,14
6102,4444.0,3820.0,14
6123,4970.0,10134.0,14
6462,1949.0,17275.0,14
6468,881.0,24729.0,14
6480,5237.0,2814.0,14
6670,853.0,2092.0,14
6764,1266.0,3272.0,14
6793,4809.0,6734.0,14
6866,5224.0,3092.0,13
6875,2481.0,6721.0,13
6934,1920.0,256.0,13
7255,2349.0,2090.0,13
7317,3576.0,23307.0,13
7326,3979.0,3272.0,13
7520,4809.0,6716.0,13
7605,2884.0,6990.0,13
7852,16553.0,8632.0,13
7918,18278.0,3092.0,13
8127,3116.0,47.0,13
8212,6726.0,4334.0,13
8246,3637.0,29365.0,13
8329,27740.0,3092.0,12
8399,6204.0,16407.0,12
8486,582.0,333.0,12
8538,4334.0,10386.0,12
8616,6734.0,7574.0,12
8807,8596.0,11394.0,12
