,userId,recsys_id,rating
0,1,32255,4.0
1,1,15129,4.0
2,1,33636,2.0
3,1,3458,5.0
4,1,33327,4.0
5,1,9345,3.0
6,1,25867,1.0
7,1,33643,5.0
8,1,31560,4.0
9,1,26278,3.0
10,1,23438,2.0
11,1,9630,4.0
12,1,8200,4.0
13,1,23751,4.0
14,1,12841,2.0
15,1,20369,3.0
16,2,11919,4.0
17,2,9263,4.0
18,2,24691,3.0
19,2,12183,3.0
20,2,17723,3.0
22,2,26455,3.0
23,2,8625,4.0
24,2,15845,4.0
25,2,4636,4.0
26,2,3586,4.0
27,2,2136,4.0
28,2,16714,4.0
29,2,23335,3.0
30,2,1475,4.0
31,3,7945,3.0
32,3,27468,4.0
35,3,1638,4.0
36,3,28280,4.0
37,3,30194,3.0
38,3,11978,2.0
40,3,24160,5.0
41,3,23582,4.0
42,4,32074,4.0
43,4,14947,4.0
44,4,9803,2.0
45,4,12356,4.0
46,4,11432,4.0
47,4,27510,3.0
48,4,5298,4.0
49,4,712,2.0
50,4,18749,3.0
51,4,2284,3.0
52,4,16264,4.0
53,4,7047,3.0
54,4,32431,5.0
55,4,2569,3.0
56,4,7364,4.0
57,4,6115,2.0
58,4,23211,4.0
59,4,18900,1.0
60,4,31796,2.0
62,4,32857,4.0
63,4,9518,3.0
64,4,19030,3.0
65,1,1,1.0
66,1,1,1.0
67,4,10662,3.0
68,4,24356,2.0
70,4,4649,5.0
71,4,5976,4.0
72,4,12122,3.0
73,4,4483,5.0
74,4,3717,4.0
75,4,2679,4.0
76,4,2018,4.0
77,4,23407,4.0
78,4,2995,2.0
79,1,1,1.0
80,4,6392,3.0
81,4,6687,4.0
82,4,7806,2.0
83,4,8004,4.0
84,1,1,1.0
85,4,11919,3.0
86,4,14813,3.0
87,4,14904,3.0
88,4,15360,4.0
89,4,17606,4.0
91,4,19803,3.0
92,4,20052,2.0
93,1,1,1.0
94,4,26372,4.0
95,4,32631,3.0
96,4,3695,2.0
99,4,14106,5.0
101,4,14977,3.0
102,4,26120,4.0
103,4,17555,4.0
104,4,19701,4.0
105,4,20986,4.0
107,4,22402,5.0
108,4,25886,2.0
109,4,26140,5.0
110,4,30495,2.0
111,4,24843,5.0
113,4,26100,3.0
115,4,31919,1.0
116,4,33204,3.0
117,1,1,1.0
118,4,711,3.0
119,4,6041,5.0
120,4,6059,2.0
121,4,6745,4.0
122,4,10389,4.0
123,4,14298,3.0
124,4,16623,4.0
125,4,17941,3.0
126,4,18011,4.0
127,4,19513,2.0
128,4,25896,3.0
129,4,31733,2.0
130,4,32308,4.0
131,4,34279,3.0
133,4,762,1.0
134,4,3489,2.0
136,4,6001,3.0
137,4,6060,1.0
138,4,6370,2.0
139,4,7224,4.0
140,4,7707,2.0
141,4,28593,2.0
142,4,10567,2.0
143,4,10715,4.0
144,4,13064,2.0
145,4,13265,4.0
146,4,13878,4.0
147,4,14991,4.0
148,4,15129,4.0
149,1,1,1.0
150,4,9428,4.0
151,4,19079,3.0
153,4,23333,4.0
154,4,23424,4.0
155,4,23687,4.0
156,4,24253,5.0
157,1,1,1.0
158,4,3894,5.0
159,1,1,1.0
161,4,12891,2.0
162,4,11086,2.0
163,4,1028,2.0
164,4,27260,5.0
165,4,7015,4.0
166,4,2987,4.0
167,4,25108,4.0
168,4,3153,3.0
169,4,22169,3.0
170,4,9729,5.0
171,4,12388,4.0
172,4,6556,4.0
173,4,18611,4.0
174,4,8544,4.0
175,4,28124,3.0
176,4,23471,5.0
177,4,32466,3.0
178,4,11099,4.0
179,4,26459,3.0
180,4,32119,4.0
181,4,13944,4.0
182,1,1,1.0
183,4,15539,4.0
184,4,9227,4.0
185,4,29974,1.0
186,4,7292,3.0
189,4,22745,4.0
190,4,5467,3.0
191,4,31741,3.0
192,4,11365,4.0
194,4,22992,2.0
195,4,34266,4.0
196,4,35190,4.0
197,4,17849,4.0
198,1,1,1.0
199,4,6462,4.0
200,4,8002,5.0
201,4,16208,2.0
202,4,16847,4.0
203,4,11088,4.0
204,4,23548,5.0
205,4,10109,5.0
206,4,16527,4.0
207,4,8079,2.0
208,4,23069,5.0
209,4,21814,4.0
210,4,33636,1.0
211,4,2966,4.0
212,4,6791,2.0
213,4,7300,3.0
214,4,31980,4.0
215,4,8630,4.0
216,4,689,5.0
217,4,18827,5.0
218,4,26121,5.0
220,4,1144,3.0
221,4,35046,2.0
222,4,31808,2.0
223,4,2010,4.0
224,4,26122,5.0
225,4,1104,2.0
226,4,2154,4.0
227,1,1,1.0
228,4,10727,5.0
229,4,27264,4.0
230,4,11301,5.0
231,4,26068,3.0
232,4,11764,2.0
233,4,2641,4.0
234,4,1015,3.0
235,4,12696,5.0
236,4,13955,5.0
238,4,8509,5.0
239,4,26107,4.0
240,4,8003,4.0
241,4,26106,4.0
242,4,26113,4.0
243,4,26102,4.0
244,4,26104,3.0
245,4,2997,2.0
246,4,32630,4.0
247,4,17882,2.0
248,4,14623,2.0
249,4,25492,5.0
250,1,1,1.0
251,4,24346,2.0
252,4,9931,5.0
253,4,18065,2.0
254,4,8365,5.0
255,4,22271,3.0
256,4,16464,2.0
257,4,11761,3.0
258,4,33256,1.0
259,4,2438,4.0
260,4,4507,3.0
261,4,9936,5.0
262,4,16991,2.0
263,4,6350,4.0
264,4,2990,1.0
265,4,18216,4.0
266,4,6425,4.0
267,4,10798,3.0
268,4,9345,4.0
269,4,25867,4.0
270,1,1,1.0
271,4,6415,3.0
272,4,15769,4.0
273,4,975,3.0
274,4,13321,5.0
275,4,8876,5.0
276,4,21409,3.0
277,4,15844,5.0
278,4,10857,5.0
279,4,10728,3.0
281,4,28280,5.0
282,4,21834,3.0
283,4,10943,4.0
284,4,3100,3.0
285,4,4279,3.0
286,4,26160,3.0
287,4,32322,5.0
288,4,14439,4.0
289,4,1141,4.0
290,4,11528,4.0
291,1,1,1.0
292,4,31924,4.0
293,1,1,1.0
294,4,33314,4.0
295,4,7104,5.0
296,1,1,1.0
297,4,30379,4.0
298,4,25912,3.0
299,4,2218,3.0
300,4,32523,4.0
301,4,34107,4.0
302,4,22202,4.0
303,4,16973,4.0
304,4,7612,3.0
305,4,11380,3.0
306,4,9832,3.0
308,4,34468,3.0
309,4,2139,4.0
310,4,16435,4.0
311,4,21645,2.0
312,4,31395,3.0
313,4,22663,3.0
314,4,15900,4.0
315,1,1,1.0
316,4,16432,5.0
317,4,16433,4.0
318,4,16434,4.0
319,4,11725,3.0
320,4,11726,3.0
321,4,17940,4.0
322,4,2642,4.0
323,4,2643,4.0
324,4,8701,3.0
325,4,24160,5.0
326,4,3908,2.0
327,4,10207,4.0
328,4,12947,1.0
329,4,12948,3.0
330,4,19759,4.0
331,4,16693,2.0
332,4,18418,3.0
333,4,23478,2.0
334,4,25963,3.0
335,4,32265,4.0
336,4,13956,4.0
337,4,25480,3.0
338,4,803,2.0
339,4,28185,5.0
340,4,11375,4.0
342,4,2486,2.0
343,4,29909,3.0
344,4,3890,4.0
345,4,3223,3.0
346,4,34136,5.0
347,4,32793,5.0
348,4,23639,5.0
349,4,172,4.0
350,4,23774,4.0
351,4,23569,5.0
352,4,8889,4.0
353,4,1966,4.0
354,4,19924,2.0
355,4,19282,4.0
356,4,35195,4.0
357,4,25078,4.0
358,4,33503,3.0
359,4,9161,4.0
360,4,36,4.0
361,4,21935,2.0
362,4,21936,3.0
363,1,1,1.0
365,4,26108,4.0
366,4,14666,4.0
367,4,23538,4.0
368,4,6143,3.0
369,4,34692,3.0
370,4,6006,4.0
371,1,1,1.0
373,4,6711,3.0
374,4,6712,2.0
375,4,31560,3.0
376,4,21396,4.0
377,4,20438,4.0
378,4,20475,5.0
379,4,35486,4.0
380,4,1688,4.0
381,4,6760,4.0
382,4,16782,4.0
383,4,34160,3.0
384,4,18002,4.0
385,4,9434,4.0
386,4,9206,4.0
387,4,7988,3.0
388,4,29840,4.0
389,4,26117,2.0
390,4,26686,3.0
391,4,26689,3.0
392,4,31481,4.0
393,4,2439,3.0
394,4,28712,4.0
396,4,34111,2.0
397,4,1513,4.0
398,1,1,1.0
399,1,1,1.0
400,4,11136,4.0
401,4,11137,3.0
402,4,8631,4.0
403,1,1,1.0
404,4,7602,3.0
405,4,19450,4.0
406,4,25284,5.0
407,4,30900,5.0
408,4,30901,5.0
409,4,4400,3.0
410,4,991,4.0
411,4,988,3.0
412,4,19685,4.0
413,4,3573,1.0
414,4,21436,3.0
415,4,18352,3.0
416,4,32735,3.0
417,4,14209,2.0
418,4,26278,4.0
419,4,1449,4.0
420,4,4130,3.0
421,4,8433,3.0
422,4,19459,4.0
423,4,31576,4.0
424,4,32030,4.0
425,4,9906,4.0
426,4,11434,4.0
427,4,10672,5.0
428,4,8499,5.0
429,1,1,1.0
430,4,9947,5.0
431,4,23436,3.0
432,4,23438,1.0
433,4,33987,3.0
434,4,10338,4.0
435,4,16477,3.0
436,4,16733,4.0
437,4,31630,4.0
438,4,3280,4.0
440,4,9630,4.0
441,4,25840,5.0
442,4,32104,3.0
443,4,8262,4.0
444,4,21897,3.0
445,4,34383,4.0
446,4,24368,3.0
447,4,2650,4.0
448,4,9130,4.0
449,4,32075,3.0
450,4,7868,3.0
451,4,3568,4.0
452,4,1976,4.0
453,4,26701,3.0
454,4,16773,4.0
455,4,25243,1.0
456,1,1,1.0
457,4,28915,3.0
458,4,1154,4.0
459,4,24247,5.0
460,4,33529,3.0
461,4,33530,2.0
463,4,21355,5.0
464,4,33949,2.0
465,4,4773,4.0
466,1,1,1.0
467,4,4299,5.0
468,4,4224,5.0
469,4,21759,3.0
470,4,34020,5.0
471,4,22979,3.0
472,4,18606,3.0
473,4,12192,3.0
474,4,11508,4.0
475,4,23554,4.0
476,4,15963,4.0
477,4,12661,2.0
478,4,12971,4.0
479,4,23699,4.0
480,4,22106,5.0
481,4,4959,4.0
482,4,32521,4.0
483,4,11275,5.0
484,4,3065,1.0
485,4,21423,1.0
486,4,23392,4.0
487,4,18615,3.0
488,4,30719,5.0
489,4,18854,4.0
490,4,17686,4.0
491,4,22107,3.0
492,4,23751,4.0
493,4,17393,4.0
494,4,17394,4.0
495,4,17395,3.0
496,4,11459,4.0
497,4,3638,4.0
498,4,31767,5.0
499,4,5685,4.0
500,4,21356,4.0
501,4,21512,4.0
502,4,9545,4.0
503,4,34475,4.0
504,4,33732,4.0
505,4,6590,2.0
506,4,12841,3.0
507,4,25827,3.0
508,4,28143,3.0
509,4,970,4.0
510,4,19514,4.0
511,4,29878,3.0
512,4,2187,4.0
513,4,12698,3.0
514,4,23009,3.0
515,4,18144,4.0
516,4,6430,5.0
518,4,18224,3.0
519,4,22915,3.0
520,4,7960,4.0
521,1,1,1.0
522,4,32596,5.0
524,4,8705,2.0
525,4,16744,4.0
526,4,25487,4.0
527,1,1,1.0
528,4,33788,3.0
529,4,10014,3.0
530,1,1,1.0
531,1,1,1.0
532,4,32105,5.0
533,4,1959,4.0
534,4,3488,4.0
536,4,9236,2.0
537,4,14021,3.0
538,4,12066,3.0
539,4,35102,3.0
541,4,23181,2.0
542,4,9158,4.0
543,4,18185,5.0
544,1,1,1.0
545,4,1327,4.0
546,4,4076,4.0
547,1,1,1.0
548,4,24220,5.0
549,4,19134,4.0
550,4,25013,5.0
552,4,5999,3.0
553,4,9408,3.0
554,4,26869,4.0
555,4,21891,4.0
556,4,16048,3.0
557,4,5118,3.0
558,4,9986,3.0
559,4,24327,5.0
560,4,4960,3.0
561,4,6138,2.0
562,4,24974,2.0
563,4,24973,3.0
564,4,3666,1.0
565,4,16873,2.0
566,4,14992,3.0
568,4,32540,2.0
569,4,32607,2.0
570,4,23775,4.0
571,4,1514,4.0
572,4,20900,3.0
573,4,1508,4.0
574,4,14572,4.0
575,4,32118,4.0
576,4,2836,4.0
577,4,15056,5.0
578,4,8366,4.0
579,4,18816,5.0
580,4,12412,4.0
581,4,24772,3.0
582,4,12203,3.0
583,4,26000,5.0
584,4,3254,4.0
585,4,20428,4.0
586,4,32961,4.0
587,1,1,1.0
588,4,3665,1.0
589,4,15202,3.0
590,4,16907,3.0
591,4,3146,4.0
592,4,3808,5.0
593,4,35360,4.0
594,4,6532,5.0
596,4,12208,3.0
597,4,26665,4.0
598,4,33589,4.0
599,4,13615,3.0
600,4,23071,4.0
601,4,3891,4.0
603,4,19257,3.0
604,4,25918,5.0
605,4,26118,3.0
606,4,14068,5.0
607,4,26577,3.0
608,4,4396,5.0
609,4,18212,2.0
610,4,18496,4.0
611,4,18218,4.0
612,4,22974,4.0
613,4,23385,5.0
614,4,2437,3.0
615,4,25101,4.0
616,1,1,1.0
617,4,34512,3.0
618,4,13063,3.0
619,4,5973,3.0
620,4,15658,3.0
621,4,23284,4.0
623,4,12198,3.0
624,4,7997,4.0
625,4,22561,2.0
626,4,32184,4.0
627,4,9217,5.0
628,4,26109,3.0
629,1,1,1.0
630,4,16909,4.0
631,4,35244,2.0
632,4,10879,4.0
633,4,19564,4.0
634,4,5356,4.0
635,4,12389,3.0
636,4,6378,2.0
637,4,5984,5.0
638,4,22869,5.0
640,4,20545,4.0
641,4,27156,4.0
642,4,6488,3.0
643,4,21636,4.0
645,4,4799,4.0
646,4,6389,4.0
647,4,34483,4.0
648,4,18000,2.0
649,4,4705,3.0
650,4,10022,5.0
651,4,14361,4.0
652,4,35161,2.0
653,4,13271,3.0
654,1,1,1.0
655,4,27261,4.0
656,4,21746,5.0
657,4,16238,2.0
658,4,2682,3.0
659,4,14801,4.0
660,4,16047,4.0
661,4,1542,4.0
662,4,23821,4.0
663,4,32192,3.0
665,4,17984,5.0
666,4,32677,4.0
667,4,23744,4.0
668,1,1,1.0
669,4,29728,4.0
671,4,15380,5.0
672,4,23740,4.0
673,4,18001,3.0
674,4,17956,4.0
675,4,7169,3.0
676,4,33451,4.0
677,1,1,1.0
678,4,8522,3.0
679,4,16139,5.0
680,4,3596,5.0
681,4,16908,4.0
682,4,28754,5.0
683,4,25865,4.0
684,4,9305,5.0
685,1,1,1.0
686,4,12461,4.0
687,4,15381,4.0
688,4,35080,1.0
689,4,32953,4.0
690,4,32287,5.0
691,4,9160,3.0
692,4,34671,4.0
693,4,19837,4.0
694,4,2607,5.0
697,4,2609,4.0
701,4,11276,5.0
702,4,34978,4.0
703,4,25014,5.0
704,4,7265,4.0
705,4,5888,5.0
706,1,1,1.0
707,4,26663,4.0
708,4,8243,4.0
709,4,9582,4.0
711,4,25919,5.0
712,4,1706,1.0
713,4,13601,4.0
714,4,4398,5.0
715,4,17703,4.0
716,4,6215,3.0
717,4,12181,4.0
719,4,23075,4.0
720,4,24837,5.0
721,1,1,1.0
722,4,22206,5.0
723,4,21045,4.0
724,4,13940,5.0
725,4,19690,4.0
726,4,13407,4.0
727,4,3897,4.0
728,4,10048,3.0
729,4,10400,3.0
730,4,17552,1.0
731,4,20547,5.0
732,4,6504,5.0
733,4,5311,5.0
735,4,6423,4.0
736,4,20179,4.0
737,4,15782,5.0
739,4,25171,5.0
740,4,28992,4.0
741,4,7062,5.0
742,4,26119,3.0
743,4,16864,4.0
744,4,19010,4.0
745,4,2993,5.0
746,4,16022,4.0
747,4,33610,5.0
748,4,14271,5.0
749,4,16911,5.0
750,4,8376,2.0
752,4,15578,5.0
753,1,1,1.0
754,1,1,1.0
755,4,14544,4.0
756,4,7760,4.0
757,1,1,1.0
758,4,32681,5.0
759,1,1,1.0
760,1,1,1.0
762,4,35110,5.0
763,4,32872,5.0
764,1,1,1.0
765,4,14046,5.0
766,1,1,1.0
767,1,1,1.0
768,4,5709,4.0
769,4,35302,4.0
770,4,24958,4.0
771,4,8188,4.0
772,4,35252,4.0
773,4,16737,3.0
774,4,32136,4.0
775,4,4399,5.0
776,4,1471,4.0
777,4,14981,4.0
779,5,32857,5.0
781,5,22402,5.0
782,5,24843,5.0
783,5,24253,4.0
784,5,6184,3.0
785,5,32119,5.0
786,5,11365,4.0
787,5,33855,5.0
788,5,24691,2.0
789,5,20688,4.0
790,5,11547,5.0
791,5,10727,5.0
792,5,15844,4.0
793,5,3608,5.0
794,5,2963,3.0
795,5,1483,4.0
796,5,24860,3.0
797,5,20475,4.0
798,5,1449,5.0
799,5,9947,5.0
800,5,1976,3.0
801,5,13355,4.0
802,5,23057,4.0
803,5,25487,4.0
804,5,18185,5.0
806,5,26665,4.0
808,5,20695,4.0
809,5,35244,4.0
810,5,21646,5.0
811,5,5984,5.0
812,5,6389,3.0
813,5,9305,5.0
814,5,10906,4.0
815,5,7966,4.0
816,5,25073,4.0
817,5,17380,4.0
818,5,16213,4.0
819,5,13088,4.0
820,5,34363,4.0
822,5,25171,4.0
823,5,2993,4.0
824,5,15578,4.0
825,5,14544,4.0
826,5,27360,5.0
827,5,32350,4.0
828,5,16699,3.0
829,5,26391,5.0
830,5,15896,4.0
831,5,7740,5.0
832,5,16665,4.0
833,5,5709,5.0
834,5,22153,4.0
835,5,5300,4.0
836,5,3987,4.0
837,5,16444,4.0
838,5,13052,4.0
839,5,31497,5.0
840,5,4399,4.0
841,5,26670,4.0
842,5,35326,4.0
843,5,8797,4.0
844,5,14126,5.0
845,5,11454,4.0
846,5,1471,4.0
847,5,20097,5.0
848,5,14981,5.0
849,5,31391,4.0
850,6,11432,4.0
851,6,11057,4.0
852,6,32431,5.0
854,6,32857,5.0
855,6,27125,4.0
856,6,3717,5.0
857,6,2995,4.0
858,6,6687,4.0
859,6,7806,4.0
860,6,11919,3.0
861,6,14904,3.0
862,6,32631,1.0
863,6,33514,3.0
864,6,8310,5.0
865,6,8633,2.0
866,6,16722,4.0
868,6,19701,3.0
869,6,22402,4.0
870,6,32255,4.0
871,6,25886,1.0
872,6,26140,3.0
873,6,24843,4.0
874,6,33790,4.0
875,6,6059,3.0
876,6,6745,3.0
877,6,16623,4.0
878,6,17941,3.0
879,6,32308,3.0
880,6,3489,3.0
881,6,6060,2.0
882,6,7224,3.0
883,6,7707,3.0
884,6,28593,4.0
885,6,10715,4.0
886,6,23001,5.0
888,6,32313,3.0
889,6,2987,3.0
890,6,25108,4.0
892,7,33807,4.0
893,7,30535,3.0
894,7,14265,3.0
895,7,24468,4.0
896,7,9407,2.0
897,7,23611,4.0
