,movie_title,movie_year,genre,average_rating,num_votes,is_adult,imdb_tconst,imdb_link
0,A 2nd Hand Lover,2015,Romance,4.7,6.0,0,tt10919164,https://www.imdb.com/title/tt10919164/
1,A Aa,2016,"Comedy,Drama,Romance",6.8,3310.0,0,tt5684466,https://www.imdb.com/title/tt5684466/
2,A Baby at Any Cost,2022,Thriller,5.6,147.0,0,tt15331880,https://www.imdb.com/title/tt15331880/
3,A Bad Idea Gone Wrong,2017,Comedy,5.8,1246.0,0,tt5212918,https://www.imdb.com/title/tt5212918/
4,A Bad Moms Christmas,2017,Comedy,5.6,54137.0,0,tt6359956,https://www.imdb.com/title/tt6359956/
5,A Bag of Hammers,2011,"Comedy,Drama",6.6,3056.0,0,tt1509787,https://www.imdb.com/title/tt1509787/
6,A Ballerina's Tale,2015,Documentary,6.4,697.0,0,tt4504040,https://www.imdb.com/title/tt4504040/
7,A Band Called Death,2012,"Biography,Documentary,Music",7.5,3882.0,0,tt2064713,https://www.imdb.com/title/tt2064713/
8,A Banquet,2021,Horror,4.8,1091.0,0,tt11400902,https://www.imdb.com/title/tt11400902/
9,A Bear Named Winnie,2004,"Drama,War",6.8,1101.0,0,tt0437088,https://www.imdb.com/title/tt0437088/
10,A Beautiful Curse,2021,Drama,4.6,178.0,0,tt12593190,https://www.imdb.com/title/tt12593190/
11,A Beautiful Day in the Neighborhood,2019,"Biography,Drama",7.2,82356.0,0,tt3224458,https://www.imdb.com/title/tt3224458/
12,A Beginner's Guide to Endings,2010,"Comedy,Drama",6.3,1828.0,0,tt1516002,https://www.imdb.com/title/tt1516002/
13,A Belle for Christmas,2014,"Comedy,Drama,Family",4.7,519.0,0,tt3256812,https://www.imdb.com/title/tt3256812/
14,A Bend in the River,2020,Drama,6.0,94.0,0,tt8187840,https://www.imdb.com/title/tt8187840/
15,A Big Hand for the Little Lady,1966,Western,7.3,4372.0,0,tt0060165,https://www.imdb.com/title/tt0060165/
